road_id,road_type,speed_limit,lane_num,road_length_m,is_anomaly,anomaly_type
MLR00233,secondary,40,3,3411.59,0,normal
MLR00234,motorway,120,8,8465.15,0,normal
MLR00235,primary,60,6,4693.25,0,normal
MLR00236,secondary,30,2,3505.48,0,normal
MLR00237,residential,20,1,1494.89,0,normal
MLR00238,motorway,120,8,2936.2,0,normal
MLR00239,secondary,40,3,1384.22,0,normal
MLR00240,motorway,80,4,2416.69,0,normal
MLR00241,motorway,100,6,6957.45,0,normal
MLR00242,residential,30,2,470.36,0,normal
MLR00243,secondary,60,2,1276.34,0,normal
MLR00244,residential,40,2,138.56,0,normal
MLR00245,motorway,80,4,3712.77,0,normal
MLR00246,primary,120,1,2304.67,1,attribute_combo
MLR00247,primary,40,4,3429.2,0,normal
MLR00248,secondary,180,3,3474.7,1,speed
MLR00249,motorway,100,8,4863.56,0,normal
MLR00250,residential,30,1,839.81,0,normal
MLR00251,primary,80,4,5076.14,0,normal
MLR00252,motorway,100,4,3189.85,0,normal
MLR00253,motorway,100,6,7712.24,0,normal
MLR00254,primary,40,6,3982.74,0,normal
MLR00255,primary,60,4,4500.59,0,normal
MLR00256,primary,40,12,1305.44,1,lane
MLR00257,motorway,80,8,5447.05,0,normal
MLR00258,residential,40,2,1735.28,0,normal
MLR00259,primary,60,2,3079.07,0,normal
MLR00260,secondary,30,3,2127.88,0,normal
MLR00261,residential,20,1,769.04,0,normal
MLR00262,motorway,120,8,5563.61,0,normal
MLR00263,motorway,100,8,6866.54,0,normal
MLR00264,residential,40,1,1917.56,0,normal
MLR00265,secondary,120,1,2655.28,1,attribute_combo
MLR00266,residential,40,1,759.6,0,normal
MLR00267,residential,30,2,0.42296808597061564,1,short
MLR00268,motorway,120,8,4479.08,0,normal
MLR00269,primary,60,2,1.6201355140038796,1,short
MLR00270,residential,20,1,653.68,0,normal
MLR00271,secondary,40,4,2870.76,0,normal
MLR00272,motorway,120,8,4810.66,0,normal
MLR00273,secondary,50,2,3814.44,0,normal
MLR00274,residential,20,1,4.2376991045608285,1,short
MLR00275,motorway,120,8,8516.08,0,normal
MLR00276,motorway,120,6,8887.53,0,normal
MLR00277,residential,20,1,402.65,0,normal
MLR00278,primary,80,4,740.31,0,normal
MLR00279,primary,60,6,2067.1,0,normal
MLR00280,residential,20,1,653.46,0,normal
MLR00281,residential,20,2,1372.7,0,normal
MLR00282,residential,30,2,1567.34,0,normal
MLR00283,residential,20,1,0.3556810359789224,1,short
MLR00284,residential,30,1,1437.23,0,normal
MLR00285,motorway,100,4,7868.05,0,normal
MLR00286,primary,60,2,5705.27,0,normal
MLR00287,residential,30,1,859.05,0,normal
MLR00288,secondary,40,3,3979.2,0,normal
MLR00289,motorway,100,4,8552.59,0,normal
MLR00290,primary,40,2,2077.84,0,normal
MLR00291,primary,150,4,2967.31,1,speed
MLR00292,secondary,40,2,2285.46,0,normal
MLR00293,residential,20,10,513.4,1,lane
MLR00294,residential,20,1,1681.54,0,normal
MLR00295,motorway,120,8,6175.43,0,normal
MLR00296,secondary,60,2,2536.28,0,normal
MLR00297,residential,20,1,1070.79,0,normal
MLR00298,motorway,100,6,1391.81,0,normal
MLR00299,secondary,50,4,261.72,0,normal
MLR00300,secondary,40,4,0.7537069903108837,1,short
MLR00301,secondary,50,4,865.34,0,normal
MLR00302,residential,40,2,1281.88,0,normal
MLR00303,motorway,120,6,1332.85,0,normal
MLR00304,primary,40,4,5633.54,0,normal
MLR00305,residential,30,1,4.324478799299327,1,short
MLR00306,motorway,120,6,3458.95,0,normal
MLR00307,residential,30,2,1794.54,0,normal
MLR00308,primary,60,6,3236.38,0,normal
MLR00309,secondary,30,4,1813.1,0,normal
MLR00310,primary,80,4,1.6018296948446873,1,short
MLR00311,residential,20,2,3.1127722627739454,1,short
MLR00312,residential,30,1,196.33,0,normal
MLR00313,secondary,40,2,742.56,0,normal
MLR00314,residential,20,1,181.11,0,normal
MLR00315,secondary,50,12,3807.98,1,lane
MLR00316,residential,30,12,915.68,1,lane
MLR00317,secondary,60,3,2668.33,0,normal
MLR00318,motorway,80,8,2674.43,0,normal
MLR00319,motorway,100,6,7336.34,0,normal
MLR00320,secondary,60,2,666.02,0,normal
MLR00321,residential,20,2,1994.66,0,normal
MLR00322,secondary,50,4,446.77,0,normal
MLR00323,secondary,40,4,2896.34,0,normal
MLR00324,primary,60,6,1733.33,0,normal
MLR00325,primary,40,4,644.56,0,normal
MLR00326,secondary,60,4,693.13,0,normal
MLR00327,motorway,100,6,9996.36,0,normal
MLR00328,residential,30,1,294.39,0,normal
MLR00329,motorway,100,6,7120.98,0,normal
MLR00330,primary,40,4,3265.75,0,normal
MLR00331,motorway,120,10,3737.12,1,lane
MLR00332,secondary,30,3,945.95,0,normal
MLR00333,secondary,40,4,1350.73,0,normal
MLR00334,primary,80,6,1348.07,0,normal
MLR00335,secondary,30,2,508.65,0,normal
MLR00336,secondary,40,4,1783.03,0,normal
MLR00337,residential,40,2,1301.72,0,normal
MLR00338,primary,150,4,2135.89,1,speed
MLR00339,residential,30,2,955.66,0,normal
MLR00340,primary,60,6,2256.24,0,normal
MLR00341,secondary,60,2,3090.53,0,normal
MLR00342,motorway,100,4,5198.25,0,normal
MLR00343,primary,40,2,778.33,0,normal
MLR00344,residential,20,1,1636.28,0,normal
MLR00345,secondary,40,2,2093.41,0,normal
MLR00346,residential,30,2,95.19,0,normal
MLR00347,residential,20,1,2.5249815972733645,1,short
MLR00348,residential,30,1,1701.99,0,normal
MLR00349,secondary,50,3,1590.56,0,normal
MLR00350,primary,60,6,2087.31,0,normal
MLR00351,residential,40,2,1659.36,0,normal
MLR00352,motorway,80,4,4545.13,0,normal
MLR00353,secondary,50,2,956.42,0,normal
MLR00354,motorway,80,4,2233.33,0,normal
MLR00355,residential,40,2,340.43,0,normal
MLR00356,primary,60,6,2251.92,0,normal
MLR00357,secondary,50,4,3347.5,0,normal
MLR00358,secondary,60,2,1599.76,0,normal
MLR00359,residential,40,2,1603.67,0,normal
MLR00360,motorway,120,6,3389.77,0,normal
MLR00361,primary,120,1,3709.38,1,attribute_combo
MLR00362,primary,80,2,673.64,0,normal
MLR00363,motorway,80,4,4969.35,0,normal
MLR00364,residential,40,1,850.24,0,normal
MLR00365,residential,40,1,1426.26,0,normal
MLR00366,secondary,60,4,1631.93,0,normal
MLR00367,residential,40,2,1115.23,0,normal
MLR00368,secondary,60,2,3837.88,0,normal
MLR00369,secondary,40,3,3130.46,0,normal
MLR00370,residential,30,2,730.17,0,normal
MLR00371,secondary,50,2,2379.21,0,normal
MLR00372,residential,30,1,616.38,0,normal
MLR00373,motorway,100,6,6903.75,0,normal
MLR00374,primary,40,6,1991.23,0,normal
MLR00375,secondary,40,2,2539.57,0,normal
MLR00376,primary,40,6,5478.51,0,normal
MLR00377,primary,40,2,2773.16,0,normal
MLR00378,motorway,120,4,1046.63,0,normal
MLR00379,primary,60,6,5642.68,0,normal
MLR00380,residential,40,1,1524.03,0,normal
MLR00381,secondary,30,2,2678.74,0,normal
MLR00382,motorway,180,6,8940.2,1,speed
MLR00383,residential,180,2,1759.65,1,speed
MLR00384,secondary,60,4,2264.54,0,normal
MLR00385,primary,80,4,2000.6,0,normal
MLR00386,secondary,40,4,1943.87,0,normal
MLR00387,primary,40,6,2354.12,0,normal
MLR00388,primary,40,6,5208.81,0,normal
MLR00389,residential,40,2,219.14,0,normal
MLR00390,primary,40,4,2279.81,0,normal
MLR00391,secondary,60,2,1897.59,0,normal
MLR00392,secondary,50,4,3.4945660930714206,1,short
MLR00393,motorway,120,4,3.4824228493521896,1,short
MLR00394,secondary,50,4,1039.23,0,normal
MLR00395,residential,20,2,1508.08,0,normal
MLR00396,residential,40,2,1526.83,0,normal
MLR00397,primary,40,6,4651.07,0,normal
MLR00398,motorway,120,6,5753.56,0,normal
MLR00399,motorway,80,8,9125.99,0,normal
MLR00400,primary,40,4,5199.67,0,normal
MLR00401,primary,80,6,3188.55,0,normal
MLR00402,residential,20,2,307.29,0,normal
MLR00403,motorway,120,6,7054.91,0,normal
MLR00404,motorway,100,6,8348.08,0,normal
MLR00405,motorway,150,6,4100.76,1,speed
MLR00406,residential,20,2,847.29,0,normal
MLR00407,residential,30,2,924.65,0,normal
MLR00408,residential,30,1,1381.32,0,normal
MLR00409,primary,80,4,1152.48,0,normal
MLR00410,residential,40,1,1469.32,0,normal
MLR00411,motorway,80,6,5167.04,0,normal
MLR00412,residential,40,2,1655.55,0,normal
MLR00413,secondary,40,3,916.23,0,normal
MLR00414,motorway,80,8,4773.17,0,normal
MLR00415,motorway,80,4,1605.62,0,normal
MLR00416,residential,120,1,527.23,1,attribute_combo
MLR00417,primary,80,2,4649.12,0,normal
MLR00418,primary,80,4,1787.89,0,normal
MLR00419,secondary,50,10,1346.7,1,lane
MLR00420,secondary,50,2,2315.53,0,normal
MLR00421,primary,80,6,2849.6,0,normal
MLR00422,secondary,60,4,1411.19,0,normal
MLR00423,primary,60,4,1511.33,0,normal
MLR00424,primary,120,1,5216.48,1,attribute_combo
MLR00425,motorway,120,6,9710.08,0,normal
MLR00426,primary,60,2,1902.48,0,normal
MLR00427,motorway,100,6,1832.18,0,normal
MLR00428,primary,40,4,2574.42,0,normal
MLR00429,motorway,80,4,8241.86,0,normal
MLR00430,primary,60,2,5282.11,0,normal
MLR00431,motorway,120,1,9658.7,1,attribute_combo
MLR00432,primary,80,6,4370.73,0,normal
MLR00433,primary,80,4,4765.33,0,normal
MLR00434,secondary,50,3,1566.65,0,normal
MLR00435,residential,20,2,1535.18,0,normal
MLR00436,primary,60,4,2776.62,0,normal
MLR00437,primary,80,2,589.21,0,normal
MLR00438,residential,30,1,432.57,0,normal
MLR00439,primary,60,6,4100.34,0,normal
MLR00440,secondary,60,4,2638.44,0,normal
MLR00441,primary,80,4,1430.96,0,normal
MLR00442,residential,20,1,1071.69,0,normal
MLR00443,motorway,120,4,7879.05,0,normal
MLR00444,primary,40,6,1330.66,0,normal
MLR00445,residential,30,1,1254.78,0,normal
MLR00446,residential,40,2,80.68,0,normal
MLR00447,residential,20,1,1082.36,0,normal
MLR00448,secondary,30,4,3290.0,0,normal
MLR00449,primary,40,2,3384.12,0,normal
MLR00450,secondary,120,1,3220.76,1,attribute_combo
MLR00451,residential,40,1,1980.95,0,normal
MLR00452,motorway,120,1,7836.27,1,attribute_combo
MLR00453,residential,40,9,159.42,1,lane
MLR00454,residential,30,2,1153.42,0,normal
MLR00455,motorway,120,4,3067.9,0,normal
MLR00456,residential,30,1,1852.11,0,normal
MLR00457,secondary,30,2,3729.31,0,normal
MLR00458,primary,80,2,4637.4,0,normal
MLR00459,residential,20,2,366.78,0,normal
MLR00460,residential,40,2,798.5,0,normal
MLR00461,motorway,120,1,9768.91,1,attribute_combo
MLR00462,primary,40,4,3828.43,0,normal
MLR00463,residential,30,1,1286.54,0,normal
MLR00464,residential,30,1,743.83,0,normal
MLR00465,residential,20,2,217.1,0,normal
MLR00466,primary,80,12,951.21,1,lane
MLR00467,residential,30,2,2.2792057384818474,1,short
MLR00468,secondary,30,2,531.73,0,normal
MLR00469,residential,20,1,224.76,0,normal
MLR00470,secondary,60,2,1309.02,0,normal
MLR00471,motorway,120,8,9146.87,0,normal
MLR00472,primary,80,4,1432.26,0,normal
MLR00473,secondary,60,2,440.42,0,normal
MLR00474,residential,30,2,1576.2,0,normal
MLR00475,primary,80,6,3226.91,0,normal
MLR00476,residential,20,1,644.08,0,normal
MLR00477,secondary,60,3,1872.85,0,normal
MLR00478,primary,60,4,3817.66,0,normal
MLR00479,residential,30,1,1930.92,0,normal
MLR00480,secondary,60,4,3171.5,0,normal
MLR00481,secondary,60,3,632.77,0,normal
MLR00482,primary,80,6,648.04,0,normal
MLR00483,primary,120,1,5072.05,1,attribute_combo
MLR00484,residential,20,2,521.94,0,normal
MLR00485,residential,30,1,925.68,0,normal
MLR00486,residential,40,2,1110.11,0,normal
MLR00487,secondary,30,2,3122.03,0,normal
MLR00488,secondary,40,4,2528.18,0,normal
MLR00489,residential,30,12,256.59,1,lane
MLR00490,primary,60,4,2651.24,0,normal
MLR00491,primary,60,2,3155.24,0,normal
MLR00492,motorway,80,8,2275.08,0,normal
MLR00493,residential,120,1,729.19,1,attribute_combo
MLR00494,secondary,30,3,369.8,0,normal
MLR00495,motorway,100,8,1984.26,0,normal
MLR00496,primary,80,2,3535.51,0,normal
MLR00497,residential,30,1,1605.62,0,normal
MLR00498,primary,80,10,2876.74,1,lane
MLR00499,residential,30,1,1424.23,0,normal
MLR00500,motorway,120,4,8195.52,0,normal
MLR00501,secondary,50,2,1938.69,0,normal
MLR00502,residential,40,2,1214.09,0,normal
MLR00503,motorway,100,6,8609.66,0,normal
MLR00504,secondary,30,4,0.6730496294566847,1,short
MLR00505,secondary,40,4,1676.16,0,normal
MLR00506,residential,30,1,999.01,0,normal
MLR00507,primary,80,2,4.225727549269085,1,short
MLR00508,motorway,120,1,5361.48,1,attribute_combo
MLR00509,residential,30,2,860.48,0,normal
MLR00510,residential,20,1,1152.53,0,normal
MLR00511,primary,60,2,2011.69,0,normal
MLR00512,primary,60,6,4583.85,0,normal
MLR00513,motorway,120,4,3411.0,0,normal
MLR00514,secondary,30,4,1877.19,0,normal
MLR00515,residential,20,1,630.53,0,normal
MLR00516,residential,150,2,1731.29,1,speed
MLR00517,primary,80,6,4290.23,0,normal
MLR00518,residential,20,1,1580.46,0,normal
MLR00519,motorway,120,6,5790.53,0,normal
MLR00520,primary,60,6,2109.49,0,normal
MLR00521,motorway,80,6,9268.92,0,normal
MLR00522,primary,80,2,1873.22,0,normal
MLR00523,primary,80,4,3192.02,0,normal
MLR00524,secondary,60,3,1917.57,0,normal
MLR00525,motorway,100,8,7748.22,0,normal
MLR00526,secondary,200,3,1443.7,1,speed
MLR00527,residential,40,2,1707.71,0,normal
MLR00528,residential,20,2,1658.45,0,normal
MLR00529,secondary,120,1,2279.78,1,attribute_combo
MLR00530,secondary,30,2,578.38,0,normal
MLR00531,residential,120,1,1862.39,1,attribute_combo
MLR00532,motorway,100,4,9961.25,0,normal
MLR00533,secondary,40,3,554.69,0,normal
MLR00534,motorway,120,1,9134.2,1,attribute_combo
MLR00535,secondary,40,3,2690.84,0,normal
MLR00536,motorway,80,6,1701.45,0,normal
MLR00537,residential,20,1,1406.41,0,normal
MLR00538,residential,40,1,981.52,0,normal
MLR00539,motorway,120,4,1928.81,0,normal
MLR00540,secondary,40,3,3139.15,0,normal
MLR00541,primary,80,6,1285.69,0,normal
MLR00542,motorway,120,8,2477.05,0,normal
MLR00543,primary,80,6,1332.56,0,normal
MLR00544,residential,200,1,1798.36,1,speed
MLR00545,residential,30,2,3.2586407841206992,1,short
MLR00546,primary,80,6,3800.04,0,normal
MLR00547,motorway,120,6,2849.01,0,normal
MLR00548,primary,80,10,2125.48,1,lane
MLR00549,residential,20,1,1024.19,0,normal
MLR00550,motorway,100,6,2187.85,0,normal
MLR00551,residential,30,1,1537.32,0,normal
MLR00552,motorway,80,8,1607.79,0,normal
MLR00553,motorway,80,6,5559.5,0,normal
MLR00554,residential,30,2,210.73,0,normal
MLR00555,primary,60,2,2204.49,0,normal
MLR00556,primary,40,6,2297.13,0,normal
MLR00557,motorway,100,8,4937.37,0,normal
MLR00558,primary,40,2,974.17,0,normal
MLR00559,residential,40,1,653.12,0,normal
MLR00560,primary,40,2,4393.45,0,normal
MLR00561,primary,60,4,3376.53,0,normal
MLR00562,secondary,40,3,682.34,0,normal
MLR00563,secondary,30,2,1473.04,0,normal
MLR00564,motorway,100,8,9775.46,0,normal
MLR00565,residential,30,2,158.11,0,normal
MLR00566,primary,150,2,1903.14,1,speed
MLR00567,motorway,80,4,3200.96,0,normal
MLR00568,residential,20,1,1865.76,0,normal
MLR00569,residential,20,2,534.11,0,normal
MLR00570,secondary,150,2,2371.84,1,speed
MLR00571,primary,120,1,5747.44,1,attribute_combo
MLR00572,secondary,50,3,528.26,0,normal
MLR00573,secondary,40,3,2342.47,0,normal
MLR00574,primary,60,4,3754.3,0,normal
MLR00575,primary,80,6,4682.65,0,normal
MLR00576,motorway,100,4,3096.98,0,normal
MLR00577,motorway,100,4,7830.36,0,normal
MLR00578,secondary,30,2,2213.3,0,normal
MLR00579,residential,20,12,1437.72,1,lane
MLR00580,residential,40,2,943.99,0,normal
MLR00581,motorway,120,4,6734.94,0,normal
MLR00582,motorway,100,8,9677.96,0,normal
MLR00583,secondary,50,3,2862.76,0,normal
MLR00584,secondary,60,3,1087.72,0,normal
MLR00585,primary,120,1,1354.76,1,attribute_combo
MLR00586,secondary,60,2,2236.51,0,normal
MLR00587,primary,60,4,3048.41,0,normal
MLR00588,motorway,80,8,3737.93,0,normal
MLR00589,motorway,80,6,2334.91,0,normal
